trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",35,0,-215.69102998132973,"{0: 21, 1: 3, 2: 7, 3: 0, 4: 4}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",20,0,-185.45900859457078,"{0: 9, 1: 1, 2: 7, 3: 0, 4: 3}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",25,0,-54.72098829968931,"{0: 17, 1: 1, 2: 7, 3: 0, 4: 0}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",35,0,-170.53017034195457,"{0: 20, 1: 5, 2: 7, 3: 1, 4: 2}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",30,0,-114.52809335905702,"{0: 20, 1: 4, 2: 4, 3: 0, 4: 2}",1
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",20,0,-87.43893153017981,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 2}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",20,0,-149.2927587152257,"{0: 10, 1: 2, 2: 5, 3: 1, 4: 2}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",25,6,-20.731472535844322,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 0}",1
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",30,19,-1.9166210211779378,"{0: 8, 1: 3, 2: 0, 3: 0, 4: 0}",1
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",25,0,8.005367658842761,"{0: 22, 1: 1, 2: 2, 3: 0, 4: 0}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",20,0,0.04659960973648469,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 0}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",25,0,-94.23503432196429,"{0: 18, 1: 2, 2: 3, 3: 0, 4: 2}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",20,10,-31.908663894496982,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 1}",1
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",25,6,-38.33503755750136,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 1}",1
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",20,0,-18.29497415759774,"{0: 17, 1: 0, 2: 2, 3: 1, 4: 0}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",20,0,-7.263202012817228,"{0: 17, 1: 1, 2: 1, 3: 1, 4: 0}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",20,16,9.31295230103054,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",20,9,-22.800651904555483,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 1}",1
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",30,0,-51.642785753598616,"{0: 26, 1: 0, 2: 2, 3: 1, 4: 1}",0
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",20,14,-0.4529588672582414,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
1,True,"{'a': 0.0, 'e': 0.0}",25,0,-13.533085925219657,"{0: 22, 1: 0, 2: 2, 3: 1, 4: 0}",0
2,True,"{'a': 0.0, 'e': 0.0}",25,17,-11.216852581645249,"{0: 7, 1: 0, 2: 0, 3: 1, 4: 0}",1
3,True,"{'a': 0.0, 'e': 0.0}",20,0,-88.92608580051034,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 2}",0
4,True,"{'a': 0.0, 'e': 0.0}",20,0,-27.559996313393558,"{0: 17, 1: 0, 2: 1, 3: 2, 4: 0}",0
5,True,"{'a': 0.0, 'e': 0.0}",35,11,-89.32270300908596,"{0: 19, 1: 0, 2: 2, 3: 1, 4: 2}",1
6,True,"{'a': 0.0, 'e': 0.0}",25,18,11.272133725454111,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0.0, 'e': 0.0}",25,0,-47.24363184831176,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 2}",0
8,True,"{'a': 0.0, 'e': 0.0}",35,7,10.424274749634787,"{0: 26, 1: 0, 2: 1, 3: 1, 4: 0}",1
9,True,"{'a': 0.0, 'e': 0.0}",25,8,-62.910326677857135,"{0: 14, 1: 1, 2: 0, 3: 0, 4: 2}",1
10,True,"{'a': 0.0, 'e': 0.0}",25,13,18.867002079630577,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
