trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 1.0, 'e': 0.9999996915748783}",25,0,-153.52027734725044,"{0: 12, 1: 5, 2: 6, 3: 0, 4: 2}",0
2,False,"{'a': 1.0, 'e': 0.9999987662997035}",20,0,-90.42145552307223,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
3,False,"{'a': 1.0, 'e': 0.9999972241750464}",30,0,-238.86006770525074,"{0: 16, 1: 1, 2: 7, 3: 3, 4: 3}",0
4,False,"{'a': 1.0, 'e': 0.9999950652018582}",20,0,-144.93335481075445,"{0: 13, 1: 1, 2: 3, 3: 0, 4: 3}",0
5,False,"{'a': 1.0, 'e': 0.9999922893814706}",20,0,-138.89133097259332,"{0: 10, 1: 1, 2: 5, 3: 3, 4: 1}",0
6,False,"{'a': 1.0, 'e': 0.999988896715596}",20,10,-89.60718270482853,"{0: 6, 1: 0, 2: 2, 3: 0, 4: 2}",1
7,False,"{'a': 1.0, 'e': 0.999984887206327}",35,11,-90.08042823640262,"{0: 16, 1: 0, 2: 7, 3: 0, 4: 1}",1
8,False,"{'a': 1.0, 'e': 0.9999802608561371}",30,0,-174.92995215091855,"{0: 19, 1: 2, 2: 5, 3: 1, 4: 3}",0
9,False,"{'a': 1.0, 'e': 0.9999750176678799}",20,0,-105.97655216634497,"{0: 11, 1: 4, 2: 2, 3: 2, 4: 1}",0
10,False,"{'a': 1.0, 'e': 0.9999691576447897}",20,0,-117.34226731384044,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 2}",0
11,False,"{'a': 1.0, 'e': 0.9999626807904812}",25,0,-211.90663301992532,"{0: 15, 1: 0, 2: 5, 3: 1, 4: 4}",0
12,False,"{'a': 1.0, 'e': 0.9999555871089498}",20,0,-26.24629247359009,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
13,False,"{'a': 1.0, 'e': 0.9999478766045711}",20,0,-103.25031307918339,"{0: 14, 1: 2, 2: 1, 3: 1, 4: 2}",0
14,False,"{'a': 1.0, 'e': 0.9999395492821014}",20,0,-98.20063116429924,"{0: 14, 1: 0, 2: 3, 3: 2, 4: 1}",0
15,False,"{'a': 1.0, 'e': 0.9999306051466773}",20,0,-68.61574608517468,"{0: 15, 1: 1, 2: 2, 3: 1, 4: 1}",0
16,False,"{'a': 1.0, 'e': 0.9999210442038161}",30,0,-88.49207681084552,"{0: 20, 1: 3, 2: 6, 3: 0, 4: 1}",0
17,False,"{'a': 1.0, 'e': 0.9999108664594155}",20,0,-200.04727771938914,"{0: 7, 1: 3, 2: 7, 3: 0, 4: 3}",0
18,False,"{'a': 1.0, 'e': 0.9999000719197535}",25,0,-110.82464977335808,"{0: 14, 1: 3, 2: 5, 3: 3, 4: 0}",0
19,False,"{'a': 1.0, 'e': 0.9998886605914888}",35,15,-61.050326957961886,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",1
20,False,"{'a': 1.0, 'e': 0.9998766324816606}",20,0,-120.15021378158784,"{0: 12, 1: 3, 2: 2, 3: 1, 4: 2}",0
21,False,"{'a': 1.0, 'e': 0.9998639875976882}",20,0,-44.707974491486006,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
22,False,"{'a': 1.0, 'e': 0.9998507259473718}",25,0,-184.36890911497062,"{0: 13, 1: 7, 2: 0, 3: 2, 4: 3}",0
23,False,"{'a': 1.0, 'e': 0.9998368475388918}",25,0,-106.30511196838872,"{0: 16, 1: 0, 2: 8, 3: 0, 4: 1}",0
24,False,"{'a': 1.0, 'e': 0.999822352380809}",30,0,-143.37279156817405,"{0: 20, 1: 2, 2: 4, 3: 2, 4: 2}",0
25,False,"{'a': 1.0, 'e': 0.9998072404820648}",25,16,-18.7586852811096,"{0: 7, 1: 0, 2: 1, 3: 1, 4: 0}",1
26,False,"{'a': 1.0, 'e': 0.9997915118519811}",20,0,-121.75537835101653,"{0: 12, 1: 1, 2: 5, 3: 0, 4: 2}",0
27,False,"{'a': 1.0, 'e': 0.99977516650026}",20,0,-94.79073167344814,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
28,False,"{'a': 1.0, 'e': 0.999758204436984}",20,0,-112.96902625592595,"{0: 10, 1: 3, 2: 5, 3: 1, 4: 1}",0
29,False,"{'a': 1.0, 'e': 0.9997406256726165}",30,0,-104.4134788069797,"{0: 20, 1: 2, 2: 5, 3: 3, 4: 0}",0
30,False,"{'a': 1.0, 'e': 0.9997224302180006}",30,0,-195.33097223249132,"{0: 18, 1: 1, 2: 7, 3: 1, 4: 3}",0
31,False,"{'a': 1.0, 'e': 0.9997036180843604}",20,0,-50.62086523613999,"{0: 15, 1: 3, 2: 1, 3: 0, 4: 1}",0
32,False,"{'a': 1.0, 'e': 0.9996841892832999}",25,0,-203.87353322004154,"{0: 14, 1: 1, 2: 4, 3: 3, 4: 3}",0
33,False,"{'a': 1.0, 'e': 0.9996641438268042}",20,0,-59.2254390786494,"{0: 12, 1: 2, 2: 6, 3: 0, 4: 0}",0
34,False,"{'a': 1.0, 'e': 0.999643481727238}",25,0,-62.53620861893595,"{0: 16, 1: 5, 2: 3, 3: 1, 4: 0}",0
35,False,"{'a': 1.0, 'e': 0.9996222029973468}",35,0,-271.77176474560815,"{0: 15, 1: 6, 2: 9, 3: 2, 4: 3}",0
36,False,"{'a': 1.0, 'e': 0.9996003076502565}",30,0,-336.9450041147948,"{0: 12, 1: 3, 2: 8, 3: 1, 4: 6}",0
37,False,"{'a': 1.0, 'e': 0.9995777956994731}",25,0,-236.74974271345667,"{0: 11, 1: 4, 2: 5, 3: 1, 4: 4}",0
38,False,"{'a': 1.0, 'e': 0.9995546671588833}",20,0,-126.13301725006963,"{0: 12, 1: 1, 2: 5, 3: 0, 4: 2}",0
39,False,"{'a': 1.0, 'e': 0.9995309220427536}",20,0,-62.91555745953785,"{0: 13, 1: 4, 2: 2, 3: 0, 4: 1}",0
40,False,"{'a': 1.0, 'e': 0.9995065603657316}",30,0,-218.13366078739008,"{0: 16, 1: 2, 2: 8, 3: 1, 4: 3}",0
41,False,"{'a': 1.0, 'e': 0.9994815821428444}",25,0,-168.38358432065982,"{0: 14, 1: 3, 2: 3, 3: 3, 4: 2}",0
42,False,"{'a': 1.0, 'e': 0.9994559873895001}",20,0,-108.61744738525674,"{0: 11, 1: 1, 2: 7, 3: 0, 4: 1}",0
43,False,"{'a': 1.0, 'e': 0.9994297761214869}",30,0,-91.44301841022288,"{0: 17, 1: 7, 2: 4, 3: 2, 4: 0}",0
44,False,"{'a': 1.0, 'e': 0.9994029483549729}",30,0,-160.18230544419688,"{0: 19, 1: 2, 2: 6, 3: 0, 4: 3}",0
45,False,"{'a': 1.0, 'e': 0.999375504106507}",25,0,-181.09855240998996,"{0: 16, 1: 2, 2: 2, 3: 2, 4: 3}",0
46,False,"{'a': 1.0, 'e': 0.9993474433930183}",20,0,-150.03311547275484,"{0: 12, 1: 1, 2: 4, 3: 0, 4: 3}",0
