trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",35,0,-68.87333423902597,"{0: 25, 1: 3, 2: 6, 3: 1, 4: 0}",0
2,False,"{'a': 0.5, 'e': 1.0}",30,8,-119.84385446886895,"{0: 9, 1: 2, 2: 10, 3: 1, 4: 0}",1
3,False,"{'a': 0.5, 'e': 1.0}",25,0,-177.52374076293526,"{0: 12, 1: 2, 2: 8, 3: 1, 4: 2}",0
4,False,"{'a': 0.5, 'e': 1.0}",35,0,-199.80744964756835,"{0: 24, 1: 1, 2: 6, 3: 0, 4: 4}",0
5,False,"{'a': 0.5, 'e': 1.0}",20,2,-136.59092874079067,"{0: 7, 1: 1, 2: 8, 3: 1, 4: 1}",1
6,False,"{'a': 0.5, 'e': 1.0}",25,0,-186.7206525133591,"{0: 15, 1: 3, 2: 3, 3: 0, 4: 4}",0
7,False,"{'a': 0.5, 'e': 1.0}",30,0,-169.85673457566952,"{0: 19, 1: 3, 2: 4, 3: 1, 4: 3}",0
8,False,"{'a': 0.5, 'e': 1.0}",20,0,-37.35699041214345,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 0}",0
9,False,"{'a': 0.5, 'e': 1.0}",25,0,-27.91920004475062,"{0: 19, 1: 1, 2: 5, 3: 0, 4: 0}",0
10,False,"{'a': 0.5, 'e': 1.0}",30,0,-175.62580252741552,"{0: 15, 1: 5, 2: 8, 3: 0, 4: 2}",0
11,False,"{'a': 0.5, 'e': 1.0}",20,0,-81.81719706258606,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
12,False,"{'a': 0.5, 'e': 1.0}",20,0,-70.55753005311693,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
13,False,"{'a': 0.5, 'e': 1.0}",25,0,-55.29928420035745,"{0: 16, 1: 3, 2: 6, 3: 0, 4: 0}",0
14,False,"{'a': 0.5, 'e': 1.0}",20,2,-130.43482165857733,"{0: 7, 1: 5, 2: 4, 3: 0, 4: 2}",1
15,False,"{'a': 0.5, 'e': 1.0}",35,0,-244.78752195197242,"{0: 19, 1: 5, 2: 6, 3: 1, 4: 4}",0
16,False,"{'a': 0.5, 'e': 1.0}",20,0,-57.54721470457566,"{0: 12, 1: 2, 2: 6, 3: 0, 4: 0}",0
17,False,"{'a': 0.5, 'e': 1.0}",25,0,-189.17888975041012,"{0: 15, 1: 1, 2: 4, 3: 2, 4: 3}",0
18,False,"{'a': 0.5, 'e': 1.0}",30,0,-89.11519002961822,"{0: 18, 1: 4, 2: 7, 3: 1, 4: 0}",0
19,False,"{'a': 0.5, 'e': 1.0}",20,0,-103.31745519721065,"{0: 11, 1: 0, 2: 8, 3: 0, 4: 1}",0
20,False,"{'a': 0.5, 'e': 1.0}",20,12,1.3920273419152345,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
1,True,"{'a': 0.5, 'e': 1.0}",20,0,-80.95401760413733,"{0: 15, 1: 0, 2: 3, 3: 1, 4: 1}",0
2,True,"{'a': 0.5, 'e': 1.0}",25,0,-129.3786748070516,"{0: 13, 1: 3, 2: 7, 3: 1, 4: 1}",0
3,True,"{'a': 0.5, 'e': 1.0}",30,4,-104.33461490722867,"{0: 17, 1: 0, 2: 7, 3: 1, 4: 1}",1
4,True,"{'a': 0.5, 'e': 1.0}",20,0,-67.08905990321225,"{0: 12, 1: 3, 2: 4, 3: 1, 4: 0}",0
5,True,"{'a': 0.5, 'e': 1.0}",20,0,-149.707081726304,"{0: 9, 1: 2, 2: 5, 3: 3, 4: 1}",0
6,True,"{'a': 0.5, 'e': 1.0}",20,0,-78.18754068985933,"{0: 11, 1: 2, 2: 6, 3: 1, 4: 0}",0
7,True,"{'a': 0.5, 'e': 1.0}",25,0,-91.18059923439347,"{0: 15, 1: 2, 2: 7, 3: 1, 4: 0}",0
8,True,"{'a': 0.5, 'e': 1.0}",20,0,-91.6179380216347,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
9,True,"{'a': 0.5, 'e': 1.0}",25,0,-114.96292065674764,"{0: 13, 1: 5, 2: 6, 3: 0, 4: 1}",0
10,True,"{'a': 0.5, 'e': 1.0}",30,0,-116.57101223997927,"{0: 19, 1: 5, 2: 3, 3: 2, 4: 1}",0
